id,category,text
47,sentence_construction,"The combined source texts document contains three authors, each modeling a different texture for this project. Tessa Dare models the register for action-forward and ensemble passages: practical, theatrical, brief punchy sentences. Julia Quinn models ensemble banter and dialogue pacing. Sebastian Faulks models sustained interiority, sensory prose, and the plain declarative rendering of consciousness and physical observation. Identify the texture type of each beat in the outline, then construct the sentences from the corresponding author's patterns. Do not blend. The chapter should shift register as it moves from texture to texture."
48,sentence_construction,Read the outline and character profiles.  Then read the combined authors text.   Select one author who's writing texture is best fitted for writing the chapter.  You are now no longer Claude.  You are that author.   Construct each sentence with the same texture as you always write.  Treat the outline's drafting controls as binding.
49,sentence_construction,"Select one author from the author's source document, who's writing texture is best fitted for writing the chapter.  You are now no longer Claude.  You are that author.   Construct each sentence with the same texture as you always write.  Treat the outline's drafting controls as binding."
50,sentence_construction,"Select one author from the author's source document, who's writing texture is best fitted for writing the chapter.  You are now that author.  Write the chapter, constructing each sentence with the same texture and methods as you always write.  Treat the outline's drafting controls as binding."
51,sentence_construction,"Select one author from the author's source document, whose writing texture is best fitted for writing the chapter. Construct each sentence in the way the writer would. Before producing it, check whether it matches the sentence movement and prose logic found in the combined text document.  When writing dialogue, make sure that it maintians or heightens tension."
52,sentence_construction,"Select one author from the author's source document, whose writing texture is best fitted for writing the chapter. Construct each sentence in the way the writer would. Before producing it, check whether it matches the sentence emphasis, pacing, and form found in the combined text document.  When writing dialogue, make sure that it maintians or heightens tension."
53,sentence_construction,"Construct each sentence in the way the writer would. Before producing it, check whether it matches the sentence movement and prose logic found in the combined text document. All dialogue must maintians or heighten tension and speak in the character's own  voice."
54,sentence_construction,"Select one author from the author's source document, whose writing texture is best fitted for writing the chapter.  Construct each sentence in the way this writer would. Before producing each sentence, check whether it matches the sentence movement and prose logic found in the combined text document. Observe how dialogue maintians or heighten tension and how each character speaks in their own voice.  Make the first sentence of the chapter evocative, not simply fact-stating.   "
55,sentence_construction,"Use the author named in the outline's Voice source. Construct each sentence in the way this writer would. Before producing each sentence, check whether it matches the sentence movement and prose logic found in that author's section of the source document. Before each beat, consult the GLOBAL DRAFTING CONTROLS and any Drafting control block for that beat; these are binding. Observe how dialogue maintains or heightens tension and how each character speaks in their own voice. Make the first sentence of the chapter evocative, not simply fact-stating."
56,sentence_construction,"Use the author named in the outline's Voice source. Construct each sentence in the way this writer would. Before producing each sentence, check whether it matches the sentence movement and prose logic found in that author's section of the source document. Observe how dialogue maintains or heightens tension and how each character speaks in their own voice. Make the first sentence of the chapter evocative, not simply fact-stating. After completing the chapter, audit it against the GLOBAL DRAFTING CONTROLS and every Drafting control block; revise any violation before returning the draft."
57,sentence_construction,"Use the author named in the outline's Voice source. Write the chapter so its sentence movement, paragraph behavior, dialogue tempo, and pressure-and-release reflect that writer's natural habits -- not their wording. Let cadence shift from one paragraph to the next; do not let any single rhythm settle into pattern. Make the first sentence of the chapter evocative, not fact-stating. Let dialogue carry tension, character, or forward motion rather than information. End where the scene has earned its end and stop."
58,voice_source,"The outline names a Voice source. Before producing each sentence, write it in that author's register and check it against the mechanical spec. Before each beat, consult the GLOBAL DRAFTING CONTROLS and any Drafting Control block for that beat; these are binding. Dialogue should maintain or heighten tension and let each character speak in their own voice."
59,voice_source_short,The outline names a Voice source. Write each sentence in that author's register. The GLOBAL DRAFTING CONTROLS and any per-beat Drafting Control blocks in the outline are binding.
60,voice_source_dialogue_emphasis,"The outline names a Voice source. Write each sentence in that author's register. Before each beat, consult the GLOBAL DRAFTING CONTROLS and any Drafting Control block for that beat; these are binding. Dialogue carries the scene: each line must do at least one of tension, character, subtext, or forward motion."
61,sentence_check,"Write the chapter per the attached outline.  Construct each sentence in the way the author named in the outline's Voice source would. Before producing it, make sure that it abides by the GLOBAL DRAFTING CONTROLS, and check whether it matches the sentence movement and prose logic found in the source document."
62,sentence_check,"Write this chapter from the outline.  Construct each sentence in the way the author named in the outline's Voice source would. Before producing it, check whether it matches the sentence movement and prose logic found in the source.txt document. And make sure that you always conform to the GLOBAL DRAFTING CONTROLS."
63,sentence_check,Write this chapter from the outline.  Follow the outline's instructions.  Make sure that you always conform to the GLOBAL DRAFTING CONTROLS.
64,sentence_check,"Write this chapter from the outline.  Construct each paragraph and each sentence in the way the author named in the outline's Voice source would. Before producing the passage, check whether it matches the  movement and prose logic found in the author's source document.  Always conform to the GLOBAL DRAFTING CONTROLS."
65,sentence_check,Follow the outline's instructions and write this chapter taking care to write naturally. 
66,sentence_check,Follow the outline's instructions and write each sentence of this chapter while observing the Global Drafting Controls.
67,sentence_check,Follow the outline's instructions carefully
68,sentence_check,"Construct each sentence in the natural habits — movement, emphasis, pacing, and prose logic — of the author named in the outline's Voice source, not in their wording."
